servert,return,case,BTC-USD,BTC-EUR,BCH-USD,BCH-EUR,BCH-BTC
1565915494383000.0,1.00061,3.0,0.0,1.0,0.0,-1.0,1.0
1565915494383000.0,1.00065,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915494399000.0,1.00026,3.0,0.0,1.0,0.0,-1.0,1.0
1565915494399000.0,1.0003,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915494407000.0,1.00064,3.0,0.0,1.0,0.0,-1.0,1.0
1565915494407000.0,1.00069,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915494459000.0,1.00068,3.0,0.0,1.0,0.0,-1.0,1.0
1565915494459000.0,1.00072,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915494482000.0,1.00071,3.0,0.0,1.0,0.0,-1.0,1.0
1565915494482000.0,1.00076,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915494515000.0,1.00075,3.0,0.0,1.0,0.0,-1.0,1.0
1565915494515000.0,1.00079,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915494542000.0,1.00078,3.0,0.0,1.0,0.0,-1.0,1.0
1565915494542000.0,1.00083,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915494550000.0,1.00096,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915494586000.0,1.00029,3.0,0.0,1.0,0.0,-1.0,1.0
1565915494586000.0,1.00046,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915494592000.0,1.00082,3.0,0.0,1.0,0.0,-1.0,1.0
1565915494592000.0,1.00099,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915494604000.0,1.00085,3.0,0.0,1.0,0.0,-1.0,1.0
1565915494604000.0,1.00103,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915494787000.0,1.00026,3.0,0.0,1.0,0.0,-1.0,1.0
1565915494787000.0,1.00043,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915494861000.0,1.00033,3.0,0.0,1.0,0.0,-1.0,1.0
1565915494861000.0,1.0005,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915494994000.0,1.00036,3.0,0.0,1.0,0.0,-1.0,1.0
1565915494994000.0,1.00053,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915495500000.0,1.00029,3.0,0.0,1.0,0.0,-1.0,1.0
1565915495500000.0,1.00046,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915495140000.0,1.0004,3.0,0.0,1.0,0.0,-1.0,1.0
1565915495140000.0,1.00057,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915495152000.0,1.00043,3.0,0.0,1.0,0.0,-1.0,1.0
1565915495152000.0,1.0006,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915495182000.0,1.00047,3.0,0.0,1.0,0.0,-1.0,1.0
1565915495182000.0,1.00064,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915495197000.0,1.0005,3.0,0.0,1.0,0.0,-1.0,1.0
1565915495197000.0,1.00067,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915495274000.0,1.00071,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915495343000.0,1.00054,3.0,0.0,1.0,0.0,-1.0,1.0
1565915495343000.0,1.00074,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915495356000.0,1.00057,3.0,0.0,1.0,0.0,-1.0,1.0
1565915495356000.0,1.00078,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915495439000.0,1.0004,3.0,0.0,1.0,0.0,-1.0,1.0
1565915495439000.0,1.0006,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915495447000.0,1.00043,3.0,0.0,1.0,0.0,-1.0,1.0
1565915495447000.0,1.00064,6.0,-1.0,1.0,1.0,-1.0,0.0
